Base64 Decoding From Ascii
"ASCII
Char","Base64 
Index
Decimal","Base64
Index
Hex","Base64
Index
6 bit Binary"
A,0,00,000000
B,1,01,000001
C,2,02,000010
D,3,03,000011
E,4,04,000100
F,5,05,000101
G,6,06,000110
H,7,07,000111
I,8,08,001000
J,9,09,001001
K,10,0A,001010
L,11,0B,001011
M,12,0C,001100
N,13,0D,001101
O,14,0E,001110
P,15,0F,001111
Q,16,10,010000
R,17,11,010001
S,18,12,010010
T,19,13,010011
U,20,14,010100
V,21,15,010101
W,22,16,010110
X,23,17,010111
Y,24,18,011000
Z,25,19,011001
a,26,1A,011010
b,27,1B,011011
c,28,1C,011100
d,29,1D,011101
e,30,1E,011110
f,31,1F,011111
g,32,20,100000
h,33,21,100001
i,34,22,100010
j,35,23,100011
k,36,24,100100
l,37,25,100101
m,38,26,100110
n,39,27,100111
o,40,28,101000
p,41,29,101001
q,42,2A,101010
r,43,2B,101011
s,44,2C,101100
t,45,2D,101101
u,46,2E,101110
v,47,2F,101111
w,48,30,110000
x,49,31,110001
y,50,32,110010
z,51,33,110011
0,52,34,110100
1,53,35,110101
2,54,36,110110
3,55,37,110111
4,56,38,111000
5,57,39,111001
6,58,3A,111010
7,59,3B,111011
8,60,3C,111100
9,61,3D,111101
-,62,3E,111110
_,63,3F,111111
=,PAD,,
