Base64 Encoding to ASCII
"Base64 
Index","ASCII
Char","ASCII
Decimal","ASCII
Hex","ASCII
Binary"
0,A,65,41,01000001
1,B,66,42,01000010
2,C,67,43,01000011
3,D,68,44,01000100
4,E,69,45,01000101
5,F,70,46,01000110
6,G,71,47,01000111
7,H,72,48,01001000
8,I,73,49,01001001
9,J,74,4A,01001010
10,K,75,4B,01001011
11,L,76,4C,01001100
12,M,77,4D,01001101
13,N,78,4E,01001110
14,O,79,4F,01001111
15,P,80,50,01010000
16,Q,81,51,01010001
17,R,82,52,01010010
18,S,83,53,01010011
19,T,84,54,01010100
20,U,85,55,01010101
21,V,86,56,01010110
22,W,87,57,01010111
23,X,88,58,01011000
24,Y,89,59,01011001
25,Z,90,5A,01011010
26,a,97,61,01100001
27,b,98,62,01100010
28,c,99,63,01100011
29,d,100,64,01100100
30,e,101,65,01100101
31,f,102,66,01100110
32,g,103,67,01100111
33,h,104,68,01101000
34,i,105,69,01101001
35,j,106,6A,01101010
36,k,107,6B,01101011
37,l,108,6C,01101100
38,m,109,6D,01101101
39,n,110,6E,01101110
40,o,111,6F,01101111
41,p,112,70,01110000
42,q,113,71,01110001
43,r,114,72,01110010
44,s,115,73,01110011
45,t,116,74,01110100
46,u,117,75,01110101
47,v,118,76,01110110
48,w,119,77,01110111
49,x,120,78,01111000
50,y,121,79,01111001
51,z,122,7A,01111010
52,0,48,30,00110000
53,1,49,31,00110001
54,2,50,32,00110010
55,3,51,33,00110011
56,4,52,34,00110100
57,5,53,35,00110101
58,6,54,36,00110110
59,7,55,37,00110111
60,8,56,38,00111000
61,9,57,39,00111001
62,-,45,2D,00101101
63,_,95,5F,01011111
PAD,=,61,3D,00111101
